Job_Title,Company_Name,City_State,Company_Rating,salary_Range,Post_Date
Applied Scientist,Amazon,"East Palo Alto, CA",3.9,$31K-$222K (Glassdoor Est.),17d
"Scientist, Data Mining",TCL Research America,"San Jose, CA",3.5,$78K-$126K (Glassdoor Est.),15d
Senior Business Data Analyst,Intuit,"Mountain View, CA",4.6,$89K-$155K (Glassdoor Est.),17d
Data Scientist - Nationwide Opportunities,Amazon,"Palo Alto, CA",3.9,$104K-$166K (Glassdoor Est.),27d
Data Scientist / Machine Learning Engineer,INFISWIFT TECHNOLOGIES,"Milpitas, CA",NA,NA,21d
"Data Scientist, Analytics - Family Ecosystems",Facebook,"Menlo Park, CA",4.6,$126K-$198K (Glassdoor Est.),20d
Data Scientist (Full Time; Multiple Openings),RingCentral,"Belmont, CA",4.6,$88K-$140K (Glassdoor Est.),11d
Senior Business Intelligence Analyst,EOS,"Fremont, CA",3.4,$69K-$135K (Glassdoor Est.),10d
Data Scientist,SupportLogic,"Santa Clara, CA",NA,NA,20d
"Data Scientist, Charging Data & Modeling",Tesla,"Palo Alto, CA",3.5,$97K-$154K (Glassdoor Est.),27d
Data Scientist (Multiple Levels),Plume,"Palo Alto, CA",4.5,$84K-$137K (Glassdoor Est.),2d
Data Scientist - GIS,One Concern,"Menlo Park, CA",3.4,NA,5d
Data Scientist,Future International Education Center LLC.,"San Jose, CA",NA,NA,11d
"Data Scientist, Reliability Engineering",Tesla,"Palo Alto, CA",3.5,$97K-$154K (Glassdoor Est.),3d
Machine Learning Engineer,IntelliPro Group Inc.,"Sunnyvale, CA",4.2,$107K-$174K (Glassdoor Est.),6d
Data Science Intern,Unisys,"Santa Clara, CA",3.4,NA,27d
"Data Scientist II, Growth Analytics",Livongo,"Mountain View, CA",4.7,$97K-$159K (Glassdoor Est.),25d
"Data Scientist, Analytics, Intern",Facebook,"Menlo Park, CA",4.6,NA,26d
Search Science Data Scientist 2,eBay Inc.,"San Jose, CA",3.7,$99K-$161K (Glassdoor Est.),24h
"Associate Director, Clinical Scientist – Transplant/Hematology",Jazz Pharma,"Palo Alto, CA",3.5,$145K-$250K (Glassdoor Est.),24h
Data Analyst Intern (3DS-PE),Lumentum Operations,"San Jose, CA",3.7,NA,24h
Workday Data Consultant,Collaborative Solutions,"Pleasanton, CA",3.5,$60K-$111K (Glassdoor Est.),4d
Supply Chain Data Analyst Intern,Lumentum Operations,"San Jose, CA",3.7,NA,24h
Data Analyst - University Graduate,PayPal,"San Jose, CA",3.9,$68K-$118K (Glassdoor Est.),24h
Data Scientist / Data Engineer,IntelliPro Group Inc.,"Redwood City, CA",4.2,$83K-$110K (Glassdoor Est.),17d
Data Scientist,Andreessen Horowitz,"Menlo Park, CA",3.7,NA,11d
"Business Intelligence Analyst, Finance",Google,"Sunnyvale, CA",4.5,$77K-$148K (Glassdoor Est.),24h
Machine Learning Engineer,Liftoff,"Redwood City, CA",4.7,$157K-$203K (Glassdoor Est.),12d
"Data Science Engineering, Machine Learning",Salesforce,"Palo Alto, CA",4.4,$110K-$189K (Glassdoor Est.),27d
"Data Scientist, Analytics - Ads Delivery (App Monetization)",Facebook,"Menlo Park, CA",4.6,$119K-$188K (Glassdoor Est.),24h
Data Scientist,Colsh Consultants,"Santa Clara, CA",4.8,NA,15d
Machine Learning Scientist,Blue River Technology,"Sunnyvale, CA",4.4,$122K-$188K (Glassdoor Est.),28d
Data Scientist,"Central Business Solutions, Inc","Pleasanton, CA",3,$72K-$117K (Glassdoor Est.),17d
Machine Learning Scientist,Amazon,"Sunnyvale, CA",3.9,$123K-$191K (Glassdoor Est.),24d
Data Scientist/Research Engineer,Apixio,"San Mateo, CA",4.3,$83K-$138K (Glassdoor Est.),14d
"Data Engineer, Machine Learning",Cadence Design Systems,"San Jose, CA",4.3,$110K-$188K (Glassdoor Est.),24h
Data Scientist 6,Lam Research,"Fremont, CA",4,$117K-$183K (Glassdoor Est.),4d
"Senior Data Engineer (Match.com LLC, Palo Alto, CA)",Match,"Palo Alto, CA",3.8,$92K-$164K (Glassdoor Est.),6d
Data Analyst,Raybeam,"Mountain View, CA",4.7,NA,3d
(USA) Data Scientist - GEC - Search,Walmart,"Sunnyvale, CA",3.3,$86K-$143K (Glassdoor Est.),26d
Data Scientist,Centraprise,"Foster City, CA",4.2,$116K-$143K (Glassdoor Est.),24d
Data Analyst,IntraEdge,"Menlo Park, CA",3.8,$51K-$93K (Glassdoor Est.),20d
"Staff Data Scientist, eComm - International Search",Walmart,"Sunnyvale, CA",3.3,$133K-$218K (Glassdoor Est.),3d
"Big Data Tools, Data Analytics Pipeline Framework Engineer",OSI Engineering,"Mountain View, CA",4.7,NA,18d
Data Science Architect,NVIDIA,"Santa Clara, CA",4.7,$168K-$266K (Glassdoor Est.),25d
Software or Machine Learning Engineer - Entry Level,Apple,"Santa Clara, CA",4.2,$124K-$194K (Glassdoor Est.),12d
"Data Scientist, Computer Vision",Appen,"Sunnyvale, CA",3.7,$63K-$106K (Glassdoor Est.),20d
Data Scientist — Risk,ByteDance,"Mountain View, CA",3.8,$69K-$116K (Glassdoor Est.),4d
Statistician - Data Scientist,Sandia National Laboratories,"Livermore, CA",3.9,$98K-$158K (Glassdoor Est.),24h
"Visiting Scientist, AI",Facebook,"Menlo Park, CA",4.6,$105K-$177K (Glassdoor Est.),24h
Senior Data Scientist - Machine Learning group,Cisco Systems,"San Jose, CA",4.2,$125K-$199K (Glassdoor Est.),10d
Data Scientist/Machine Learning,Juniper Networks,"Cupertino, CA",3.9,$93K-$149K (Glassdoor Est.),21d
Sr. Data Scientist,Northstar RG,"San Jose, CA",NA,NA,4d
"Staff Data Scientist, Cloud Security",Zscaler,"San Jose, CA",4.7,$142K-$226K (Glassdoor Est.),24h
People Analytics Data Scientist,Applied Materials Inc.,"Santa Clara, CA",3.9,$88K-$140K (Glassdoor Est.),15d
Data Scientist / Bioinformatician,Akoya Biosciences,"Menlo Park, CA",3.8,NA,24h
Data Analyst Tableau/Power BI,Tachyon Technologies,"San Jose, CA",4.4,$58K-$103K (Glassdoor Est.),24h
Decision Scientist 3,PayPal,"San Jose, CA",3.9,$125K-$198K (Glassdoor Est.),3d
Research Data Scientist Intern,Facebook,"Menlo Park, CA",4.6,NA,21d
"Data Scientist, Triage - McD Tech Labs",McD Tech Labs,"Mountain View, CA",NA,NA,10d
Sr. Data Scientist - Sales Analytics,Zoom Video Communications,"San Jose, CA",4.7,$122K-$195K (Glassdoor Est.),24h
Data Engineer - Cloud (Remote),CrowdStrike,"Sunnyvale, CA",3.9,$121K-$223K (Glassdoor Est.),1d
Machine Learning Engineer Intern,UnifyID,"Redwood City, CA",3.9,NA,24h
Staff Business Data Analyst,Intuit,"Mountain View, CA",4.6,$103K-$177K (Glassdoor Est.),9d
NLP Data Scientist,"nexus IT group, Inc.","Mountain View, CA",NA,NA,26d
Data Science Architect,BMC Software,"Santa Clara, CA",3.8,$122K-$192K (Glassdoor Est.),25d
Data Analyst Intern,PayPal,"San Jose, CA",3.9,NA,6d
AI Scientist,Dishcraft Robotics,"San Carlos, CA",4.5,NA,5d
Manager Data Science US,Sartorius,"Fremont, CA",3.6,$91K-$145K (Glassdoor Est.),24h
Sr. Data Scientist - Sales Analytics,Zoom,"San Jose, CA",3.2,$142K-$227K (Glassdoor Est.),24h
Data Scientist,SOFTHQ INC,"Sunnyvale, CA",3.6,$91K-$153K (Glassdoor Est.),24h
Data Science Architect,BMC,"Santa Clara, CA",3.4,$92K-$148K (Glassdoor Est.),20d
Data Scientist,Vectra,"San Jose, CA",2.8,$110K-$174K (Glassdoor Est.),13d
Staff Data Scientist – Global Payments & Fraud Management,Sony PlayStation,"San Mateo, CA",3.7,$166K-$266K (Glassdoor Est.),4d
